,date,trip_count,temperature_max_c,temperature_min_c,temperature_mean_c,precipitation_mm,wind_speed_max_ms,humidity_percent,data_source,month,trip_count_7day_mean,trip_count_detrended,bike_rides_daily,avgTemp,start_station_name,season
149,2024-05-29,3517,24.7,13.9,18.8,11.2,4.3,72,Open-Meteo Historical API,5,3430.5714285714284,86.42857142857156,3517,18.8,Clinton St & Madison St,Spring
263,2024-09-20,4583,27.4,17.5,21.9,0.3,5.3,70,Open-Meteo Historical API,9,4196.428571428572,386.5714285714285,4583,21.9,Millennium Park,Fall
328,2024-11-24,2109,10.5,5.6,8.1,0.0,6.6,62,Open-Meteo Historical API,11,2266.0,-157.0,2109,8.1,Clinton St & Madison St,Fall
315,2024-11-11,3189,21.1,11.2,16.0,5.1,7.3,71,Open-Meteo Historical API,11,3103.0,86.0,3189,16.0,Millennium Park,Fall
219,2024-08-07,2557,22.3,18.9,21.0,23.0,5.9,86,Open-Meteo Historical API,8,2908.285714285714,-351.2857142857142,2557,21.0,Millennium Park,Summer
338,2024-12-04,2600,4.2,-2.8,0.6,0.1,4.6,61,Open-Meteo Historical API,12,2244.714285714286,355.2857142857142,2600,0.6,Buckingham Fountain,Winter
54,2024-02-24,1798,6.3,-3.3,2.3,0.0,5.3,61,Open-Meteo Historical API,2,1936.7142857142856,-138.71428571428578,1798,2.3,Columbus Dr & Randolph St,Winter
70,2024-03-11,1952,9.7,1.0,4.9,0.0,12.4,42,Open-Meteo Historical API,3,2283.285714285714,-331.2857142857142,1952,4.9,Buckingham Fountain,Spring
337,2024-12-03,2573,5.1,-1.9,1.1,0.1,3.0,64,Open-Meteo Historical API,12,2132.714285714286,440.2857142857142,2573,1.1,Shedd Aquarium,Winter
44,2024-02-14,1879,0.4,-3.6,-1.6,0.0,7.2,60,Open-Meteo Historical API,2,1690.142857142857,188.8571428571429,1879,-1.6,Navy Pier,Winter
37,2024-02-07,2353,8.1,-3.3,1.3,0.0,3.1,62,Open-Meteo Historical API,2,2239.0,114.0,2353,1.3,Millennium Park,Winter
242,2024-08-30,3485,24.8,18.2,20.9,6.9,4.1,72,Open-Meteo Historical API,8,3371.0,114.0,3485,20.9,Streeter Dr & Grand Ave,Summer
272,2024-09-29,1755,18.4,16.7,17.3,3.1,5.0,84,Open-Meteo Historical API,9,3528.0,-1773.0,1755,17.3,Shedd Aquarium,Fall
34,2024-02-04,1662,7.5,-3.4,0.9,0.0,4.0,58,Open-Meteo Historical API,2,2031.428571428571,-369.4285714285714,1662,0.9,Millennium Park,Winter
134,2024-05-14,3106,21.8,9.1,15.8,3.2,6.1,81,Open-Meteo Historical API,5,2784.714285714286,321.2857142857142,3106,15.8,Buckingham Fountain,Spring
268,2024-09-25,3989,21.0,15.7,17.8,0.6,5.2,71,Open-Meteo Historical API,9,3723.0,266.0,3989,17.8,Streeter Dr & Grand Ave,Fall
244,2024-09-01,2735,28.9,21.1,24.2,1.5,5.6,82,Open-Meteo Historical API,9,3365.8571428571427,-630.8571428571427,2735,24.2,Theater on the Lake,Fall
184,2024-07-03,3901,28.0,17.5,22.6,0.0,7.2,59,Open-Meteo Historical API,7,3362.4285714285716,538.5714285714284,3901,22.6,Clinton St & Madison St,Summer
224,2024-08-12,3516,26.3,16.5,22.0,0.3,5.5,64,Open-Meteo Historical API,8,3597.285714285714,-81.28571428571422,3516,22.0,Columbus Dr & Randolph St,Summer
273,2024-09-30,3894,22.2,14.7,18.1,0.0,5.3,75,Open-Meteo Historical API,9,3593.0,301.0,3894,18.1,Theater on the Lake,Fall
19,2024-01-20,1081,-3.2,-8.0,-5.9,0.0,7.1,51,Open-Meteo Historical API,1,1322.571428571429,-241.57142857142867,1081,-5.9,Clinton St & Madison St,Winter
357,2024-12-23,1107,-4.1,-14.3,-9.5,0.0,2.2,59,Open-Meteo Historical API,12,920.7142857142856,186.2857142857143,1107,-9.5,Navy Pier,Winter
311,2024-11-07,3710,22.7,12.3,18.0,0.0,5.7,65,Open-Meteo Historical API,11,3356.5714285714284,353.42857142857156,3710,18.0,Theater on the Lake,Fall
285,2024-10-12,3683,22.9,11.6,17.2,0.0,6.3,47,Open-Meteo Historical API,10,3666.428571428571,16.57142857142844,3683,17.2,Clinton St & Madison St,Fall
314,2024-11-10,2415,14.9,3.4,9.3,1.0,5.8,61,Open-Meteo Historical API,11,3201.285714285714,-786.2857142857142,2415,9.3,Clinton St & Madison St,Fall
60,2024-03-01,2293,5.6,-4.6,0.7,0.0,5.5,58,Open-Meteo Historical API,3,2026.2857142857144,266.7142857142858,2293,0.7,Buckingham Fountain,Spring
226,2024-08-14,3862,28.7,17.8,23.1,0.1,4.2,67,Open-Meteo Historical API,8,3715.571428571429,146.42857142857156,3862,23.1,Canal St & Adams St,Summer
45,2024-02-15,1973,1.4,-5.7,-1.6,0.3,6.4,63,Open-Meteo Historical API,2,1556.142857142857,416.8571428571429,1973,-1.6,Millennium Park,Winter
305,2024-11-01,4274,26.7,15.0,21.1,0.4,8.4,51,Open-Meteo Historical API,11,3746.714285714286,527.2857142857142,4274,21.1,Streeter Dr & Grand Ave,Fall
94,2024-04-04,2326,8.6,2.7,5.3,6.8,12.7,77,Open-Meteo Historical API,4,1886.0,440.0,2326,5.3,Millennium Park,Spring
324,2024-11-20,3530,16.0,7.8,11.9,0.0,3.1,59,Open-Meteo Historical API,11,2629.285714285714,900.7142857142858,3530,11.9,Clinton St & Madison St,Fall
313,2024-11-09,2949,12.9,4.2,8.7,0.0,6.4,40,Open-Meteo Historical API,11,3279.285714285714,-330.2857142857142,2949,8.7,Canal St & Adams St,Fall
309,2024-11-05,3824,22.9,7.9,15.5,0.0,6.2,78,Open-Meteo Historical API,11,3492.4285714285716,331.57142857142844,3824,15.5,Clinton St & Madison St,Fall
240,2024-08-28,3760,34.7,21.6,27.4,0.5,4.5,68,Open-Meteo Historical API,8,3453.0,307.0,3760,27.4,Streeter Dr & Grand Ave,Summer
291,2024-10-18,4113,19.4,7.0,12.1,0.0,5.0,50,Open-Meteo Historical API,10,3643.571428571429,469.4285714285715,4113,12.1,Clinton St & Madison St,Fall
46,2024-02-16,1984,4.8,-2.3,0.9,0.0,7.6,58,Open-Meteo Historical API,2,1472.857142857143,511.1428571428571,1984,0.9,Buckingham Fountain,Winter
180,2024-06-29,3444,26.8,17.7,22.6,1.1,9.7,78,Open-Meteo Historical API,6,3570.5714285714284,-126.57142857142844,3444,22.6,Shedd Aquarium,Summer
247,2024-09-04,3970,25.4,11.8,18.6,0.0,3.7,64,Open-Meteo Historical API,9,3565.8571428571427,404.14285714285734,3970,18.6,Shedd Aquarium,Fall
316,2024-11-12,3248,12.1,5.7,9.8,0.0,7.6,50,Open-Meteo Historical API,11,3082.5714285714284,165.42857142857156,3248,9.8,Theater on the Lake,Fall
95,2024-04-05,2400,9.4,0.7,5.3,0.0,7.8,62,Open-Meteo Historical API,4,1955.2857142857144,444.7142857142858,2400,5.3,Shedd Aquarium,Spring
66,2024-03-07,2445,12.4,5.7,9.7,4.1,7.0,80,Open-Meteo Historical API,3,1814.2857142857144,630.7142857142858,2445,9.7,Streeter Dr & Grand Ave,Spring
271,2024-09-28,2889,20.7,16.4,18.5,4.2,6.6,80,Open-Meteo Historical API,9,3532.8571428571427,-643.8571428571427,2889,18.5,Columbus Dr & Randolph St,Fall
361,2024-12-27,1302,2.8,-8.2,-3.1,0.0,1.5,74,Open-Meteo Historical API,12,1013.1428571428572,288.8571428571429,1302,-3.1,Buckingham Fountain,Winter
241,2024-08-29,3680,25.8,20.0,23.0,3.3,4.9,72,Open-Meteo Historical API,8,3401.1428571428573,278.85714285714266,3680,23.0,Canal St & Adams St,Summer
351,2024-12-17,2828,14.7,7.6,11.0,2.6,4.8,84,Open-Meteo Historical API,12,2112.4285714285716,715.5714285714284,2828,11.0,Streeter Dr & Grand Ave,Winter
1,2024-01-02,1925,5.7,-4.5,-0.2,0.0,3.4,73,Open-Meteo Historical API,1,1822.4,102.59999999999992,1925,-0.2,Theater on the Lake,Winter
12,2024-01-13,1812,14.3,2.0,9.3,27.5,10.0,70,Open-Meteo Historical API,1,1689.857142857143,122.14285714285712,1812,9.3,Canal St & Adams St,Winter
58,2024-02-28,1777,16.1,10.3,13.0,10.3,10.1,90,Open-Meteo Historical API,2,1774.857142857143,2.1428571428571104,1777,13.0,Michigan Ave & Oak St,Winter
275,2024-10-02,3955,20.5,13.1,16.5,0.2,3.7,75,Open-Meteo Historical API,10,3771.428571428571,183.57142857142844,3955,16.5,Navy Pier,Fall
146,2024-05-26,2956,26.3,15.7,20.0,0.7,4.4,87,Open-Meteo Historical API,5,3178.1428571428573,-222.14285714285737,2956,20.0,Shedd Aquarium,Spring
172,2024-06-21,3947,35.3,22.9,28.0,0.0,5.1,59,Open-Meteo Historical API,6,3626.285714285714,320.7142857142858,3947,28.0,Shedd Aquarium,Summer
218,2024-08-06,2776,31.9,21.9,25.6,39.4,4.3,81,Open-Meteo Historical API,8,2783.4285714285716,-7.4285714285715585,2776,25.6,Clinton St & Madison St,Summer
18,2024-01-19,1106,-0.6,-4.4,-2.1,2.1,4.8,71,Open-Meteo Historical API,1,1141.428571428571,-35.42857142857133,1106,-2.1,Buckingham Fountain,Winter
23,2024-01-24,1658,5.9,0.5,3.4,3.3,2.5,94,Open-Meteo Historical API,1,1737.2857142857142,-79.28571428571422,1658,3.4,Navy Pier,Winter
320,2024-11-16,3075,16.7,6.4,11.0,0.0,4.8,35,Open-Meteo Historical API,11,3162.714285714286,-87.71428571428578,3075,11.0,Canal St & Adams St,Fall
342,2024-12-08,1999,11.5,1.8,6.1,0.1,5.2,50,Open-Meteo Historical API,12,2147.4285714285716,-148.42857142857156,1999,6.1,Millennium Park,Winter
160,2024-06-09,3398,25.0,14.5,20.1,0.7,7.0,62,Open-Meteo Historical API,6,3860.428571428571,-462.4285714285715,3398,20.1,Navy Pier,Summer
282,2024-10-09,4056,19.6,8.6,14.6,0.0,5.6,56,Open-Meteo Historical API,10,3890.0,166.0,4056,14.6,Buckingham Fountain,Fall
118,2024-04-28,3354,21.7,8.8,14.9,0.4,4.6,76,Open-Meteo Historical API,4,3062.285714285714,291.7142857142858,3354,14.9,Buckingham Fountain,Spring
322,2024-11-18,3230,18.1,8.2,12.9,0.0,4.5,47,Open-Meteo Historical API,11,2980.5714285714284,249.42857142857156,3230,12.9,Clinton St & Madison St,Fall
350,2024-12-16,1452,9.8,1.8,5.7,13.9,4.2,94,Open-Meteo Historical API,12,2182.8571428571427,-730.8571428571427,1452,5.7,Canal St & Adams St,Winter
307,2024-11-03,2675,13.1,3.4,7.5,0.0,3.9,48,Open-Meteo Historical API,11,3696.285714285714,-1021.2857142857142,2675,7.5,Michigan Ave & Oak St,Fall
3,2024-01-04,2064,6.8,-1.9,2.0,0.2,6.9,65,Open-Meteo Historical API,1,1619.428571428571,444.5714285714286,2064,2.0,Clinton St & Madison St,Winter
336,2024-12-02,2300,4.0,-2.4,0.1,0.0,2.9,58,Open-Meteo Historical API,12,1970.857142857143,329.1428571428571,2300,0.1,Streeter Dr & Grand Ave,Winter
63,2024-03-04,2311,14.4,3.7,8.3,0.0,5.5,87,Open-Meteo Historical API,3,1918.0,393.0,2311,8.3,Millennium Park,Spring
334,2024-11-30,1374,3.7,-1.7,0.8,0.0,4.8,58,Open-Meteo Historical API,11,1701.2857142857142,-327.2857142857142,1374,0.8,Streeter Dr & Grand Ave,Fall
27,2024-01-28,719,4.2,2.6,3.4,21.3,8.3,94,Open-Meteo Historical API,1,1859.0,-1140.0,719,3.4,Michigan Ave & Oak St,Winter
278,2024-10-05,4118,24.0,13.8,18.7,0.1,4.9,68,Open-Meteo Historical API,10,3990.0,128.0,4118,18.7,Streeter Dr & Grand Ave,Fall
108,2024-04-18,2246,8.9,5.2,8.4,2.8,6.8,85,Open-Meteo Historical API,4,2777.5714285714284,-531.5714285714284,2246,8.4,Streeter Dr & Grand Ave,Spring
365,2024-12-31,1731,9.8,2.0,6.5,4.1,4.0,76,Open-Meteo Historical API,12,1413.75,317.25,1731,6.5,Theater on the Lake,Winter
193,2024-07-12,3572,29.1,21.5,25.2,7.5,5.9,77,Open-Meteo Historical API,7,3551.285714285714,20.71428571428578,3572,25.2,Clinton St & Madison St,Summer
335,2024-12-01,1228,2.8,-3.4,-0.7,0.0,5.1,55,Open-Meteo Historical API,12,1685.142857142857,-457.1428571428571,1228,-0.7,Millennium Park,Winter
96,2024-04-06,2318,11.2,3.2,6.7,0.2,8.0,60,Open-Meteo Historical API,4,2275.4285714285716,42.57142857142844,2318,6.7,Navy Pier,Spring
127,2024-05-07,3669,25.9,12.2,19.0,0.0,4.5,60,Open-Meteo Historical API,5,2768.4285714285716,900.5714285714284,3669,19.0,Clinton St & Madison St,Spring
80,2024-03-21,2185,5.4,-3.4,0.7,0.0,8.1,41,Open-Meteo Historical API,3,1907.857142857143,277.1428571428571,2185,0.7,Columbus Dr & Randolph St,Spring
28,2024-01-29,1941,5.7,0.2,2.7,0.6,7.6,74,Open-Meteo Historical API,1,1890.2857142857144,50.71428571428578,1941,2.7,Navy Pier,Winter
101,2024-04-11,2027,17.7,9.2,12.4,12.8,8.1,90,Open-Meteo Historical API,4,2774.5714285714284,-747.5714285714284,2027,12.4,Buckingham Fountain,Spring
297,2024-10-24,4005,20.5,11.7,16.1,0.2,6.7,56,Open-Meteo Historical API,10,3762.285714285714,242.71428571428575,4005,16.1,Clinton St & Madison St,Fall
304,2024-10-31,4625,28.1,11.9,19.6,0.0,5.6,68,Open-Meteo Historical API,10,3784.0,841.0,4625,19.6,Canal St & Adams St,Fall
216,2024-08-04,2463,28.5,23.2,24.8,6.5,4.8,86,Open-Meteo Historical API,8,3118.714285714286,-655.7142857142858,2463,24.8,Streeter Dr & Grand Ave,Summer
29,2024-01-30,2168,4.3,-3.8,0.4,0.0,3.4,72,Open-Meteo Historical API,1,1884.7142857142856,283.2857142857142,2168,0.4,Theater on the Lake,Winter
156,2024-06-05,3762,26.3,14.7,20.2,6.1,6.7,86,Open-Meteo Historical API,6,3862.285714285714,-100.28571428571422,3762,20.2,Shedd Aquarium,Summer
148,2024-05-28,3553,27.0,17.5,21.9,0.0,7.4,70,Open-Meteo Historical API,5,3225.0,328.0,3553,21.9,Columbus Dr & Randolph St,Spring
72,2024-03-13,2763,15.3,2.6,8.4,0.0,4.9,71,Open-Meteo Historical API,3,2570.4285714285716,192.57142857142844,2763,8.4,Canal St & Adams St,Spring
109,2024-04-19,2972,14.0,3.8,8.8,0.0,5.5,79,Open-Meteo Historical API,4,2725.1428571428573,246.85714285714263,2972,8.8,Shedd Aquarium,Spring
360,2024-12-26,874,-0.2,-7.7,-4.7,0.0,2.2,69,Open-Meteo Historical API,12,892.7142857142857,-18.714285714285666,874,-4.7,Streeter Dr & Grand Ave,Winter
79,2024-03-20,2188,11.6,0.6,5.8,2.3,8.1,62,Open-Meteo Historical API,3,1997.571428571429,190.42857142857133,2188,5.8,Canal St & Adams St,Spring
151,2024-05-31,4160,24.4,12.5,18.2,0.0,5.5,50,Open-Meteo Historical API,5,3817.142857142858,342.85714285714266,4160,18.2,Streeter Dr & Grand Ave,Spring
107,2024-04-17,2642,16.2,7.2,10.8,2.7,4.8,71,Open-Meteo Historical API,4,2998.5714285714284,-356.57142857142844,2642,10.8,Millennium Park,Spring
274,2024-10-01,4220,21.3,14.7,17.5,0.1,4.8,75,Open-Meteo Historical API,10,3595.8571428571427,624.1428571428573,4220,17.5,Buckingham Fountain,Fall
283,2024-10-10,4013,18.0,7.5,12.2,0.0,6.0,55,Open-Meteo Historical API,10,3833.285714285714,179.71428571428578,4013,12.2,Streeter Dr & Grand Ave,Fall
170,2024-06-19,4004,31.1,19.9,24.7,0.0,7.1,64,Open-Meteo Historical API,6,3611.142857142858,392.85714285714266,4004,24.7,Columbus Dr & Randolph St,Summer
284,2024-10-11,4079,20.9,5.9,13.3,0.0,5.1,58,Open-Meteo Historical API,10,3728.285714285714,350.7142857142858,4079,13.3,Navy Pier,Fall
353,2024-12-19,2651,6.9,1.3,4.7,2.4,4.2,71,Open-Meteo Historical API,12,1825.857142857143,825.1428571428571,2651,4.7,Shedd Aquarium,Winter
17,2024-01-18,1426,0.2,-6.7,-3.4,0.5,5.4,52,Open-Meteo Historical API,1,1081.0,345.0,1426,-3.4,Theater on the Lake,Winter
169,2024-06-18,3894,29.8,20.4,24.8,0.0,6.6,68,Open-Meteo Historical API,6,3682.428571428571,211.57142857142844,3894,24.8,Michigan Ave & Oak St,Summer
163,2024-06-12,3897,25.8,13.9,19.6,0.0,4.7,68,Open-Meteo Historical API,6,3723.428571428571,173.57142857142844,3897,19.6,Buckingham Fountain,Summer
8,2024-01-09,1221,12.8,-3.9,3.8,29.4,15.9,85,Open-Meteo Historical API,1,1746.142857142857,-525.1428571428571,1221,3.8,Shedd Aquarium,Winter
210,2024-07-29,3613,29.1,21.5,24.6,5.6,5.0,76,Open-Meteo Historical API,7,3852.714285714286,-239.71428571428575,3613,24.6,Michigan Ave & Oak St,Summer
269,2024-09-26,3703,23.1,16.9,20.3,7.2,4.8,89,Open-Meteo Historical API,9,3444.5714285714284,258.42857142857156,3703,20.3,Shedd Aquarium,Fall
261,2024-09-18,4179,23.4,18.1,20.7,0.0,4.8,76,Open-Meteo Historical API,9,4218.571428571428,-39.57142857142844,4179,20.7,Streeter Dr & Grand Ave,Fall
279,2024-10-06,3595,22.2,9.7,15.9,0.0,4.4,72,Open-Meteo Historical API,10,4004.428571428571,-409.4285714285715,3595,15.9,Buckingham Fountain,Fall
289,2024-10-16,3568,15.4,5.5,9.9,0.0,5.6,55,Open-Meteo Historical API,10,3550.0,18.0,3568,9.9,Canal St & Adams St,Fall
326,2024-11-22,1693,5.3,2.4,3.8,18.6,7.2,88,Open-Meteo Historical API,11,2518.714285714286,-825.7142857142858,1693,3.8,Millennium Park,Fall
294,2024-10-21,3679,27.6,7.1,17.0,0.0,3.3,54,Open-Meteo Historical API,10,3835.142857142858,-156.14285714285734,3679,17.0,Streeter Dr & Grand Ave,Fall
174,2024-06-23,2974,35.5,22.8,29.0,0.3,7.6,63,Open-Meteo Historical API,6,3577.8571428571427,-603.8571428571427,2974,29.0,Clinton St & Madison St,Summer
14,2024-01-15,1289,-0.8,-5.8,-3.3,0.8,3.3,49,Open-Meteo Historical API,1,1409.2857142857142,-120.28571428571422,1289,-3.3,Theater on the Lake,Winter
111,2024-04-21,2134,12.0,1.7,7.5,0.0,6.2,52,Open-Meteo Historical API,4,2784.4285714285716,-650.4285714285716,2134,7.5,Shedd Aquarium,Spring
2,2024-01-03,2036,8.3,-1.9,1.7,0.0,4.3,73,Open-Meteo Historical API,1,1716.0,320.0,2036,1.7,Columbus Dr & Randolph St,Winter
205,2024-07-24,3810,29.3,21.2,24.3,14.2,3.9,86,Open-Meteo Historical API,7,3709.285714285714,100.71428571428578,3810,24.3,Millennium Park,Summer
231,2024-08-19,3385,28.5,20.6,23.1,20.6,5.0,86,Open-Meteo Historical API,8,3591.714285714286,-206.71428571428575,3385,23.1,Millennium Park,Summer
238,2024-08-26,3250,29.9,18.4,23.2,1.0,4.4,70,Open-Meteo Historical API,8,3632.428571428571,-382.4285714285715,3250,23.2,Shedd Aquarium,Summer
20,2024-01-21,871,-1.1,-7.5,-4.9,0.0,6.5,51,Open-Meteo Historical API,1,1393.7142857142858,-522.7142857142858,871,-4.9,Columbus Dr & Randolph St,Winter
117,2024-04-27,2596,14.4,3.0,9.0,0.5,7.5,63,Open-Meteo Historical API,4,3031.8571428571427,-435.85714285714266,2596,9.0,Navy Pier,Spring
349,2024-12-15,1559,3.5,-4.4,-0.6,0.0,2.5,69,Open-Meteo Historical API,12,2134.5714285714284,-575.5714285714284,1559,-0.6,Buckingham Fountain,Winter
11,2024-01-12,2199,8.5,-1.6,4.1,0.9,5.7,76,Open-Meteo Historical API,1,1773.7142857142858,425.2857142857142,2199,4.1,Millennium Park,Winter
204,2024-07-23,3412,28.7,21.3,24.3,4.9,3.0,82,Open-Meteo Historical API,7,3692.428571428571,-280.42857142857156,3412,24.3,Navy Pier,Summer
303,2024-10-30,4155,25.3,10.3,17.0,0.0,4.0,75,Open-Meteo Historical API,10,3785.714285714286,369.2857142857142,4155,17.0,Buckingham Fountain,Fall
266,2024-09-23,3528,21.0,13.7,17.3,0.6,5.0,65,Open-Meteo Historical API,9,3999.714285714286,-471.7142857142858,3528,17.3,Streeter Dr & Grand Ave,Fall
254,2024-09-11,4370,25.7,11.8,18.5,0.0,3.5,65,Open-Meteo Historical API,9,4158.142857142857,211.85714285714312,4370,18.5,Navy Pier,Fall
81,2024-03-22,2279,5.5,-5.3,0.8,0.0,5.1,55,Open-Meteo Historical API,3,1916.0,363.0,2279,0.8,Millennium Park,Spring
112,2024-04-22,2737,15.2,1.6,8.6,0.0,5.4,55,Open-Meteo Historical API,4,2894.4285714285716,-157.42857142857156,2737,8.6,Millennium Park,Spring
331,2024-11-27,2713,10.4,2.8,6.4,0.0,2.7,67,Open-Meteo Historical API,11,1909.857142857143,803.1428571428571,2713,6.4,Shedd Aquarium,Fall
25,2024-01-26,1889,7.9,2.7,5.8,4.2,5.0,96,Open-Meteo Historical API,1,1748.2857142857142,140.71428571428578,1889,5.8,Theater on the Lake,Winter
85,2024-03-26,2476,9.6,0.4,5.5,0.0,5.9,63,Open-Meteo Historical API,3,1846.7142857142856,629.2857142857142,2476,5.5,Canal St & Adams St,Spring
75,2024-03-16,2621,13.9,3.9,8.7,0.1,7.2,73,Open-Meteo Historical API,3,2649.714285714286,-28.71428571428578,2621,8.7,Buckingham Fountain,Spring
182,2024-07-01,3544,26.6,16.5,21.8,0.3,6.8,61,Open-Meteo Historical API,7,3700.285714285714,-156.28571428571422,3544,21.8,Millennium Park,Summer
276,2024-10-03,4158,21.9,14.0,17.5,0.1,3.8,77,Open-Meteo Historical API,10,4034.285714285714,123.71428571428578,4158,17.5,Theater on the Lake,Fall
161,2024-06-10,3622,24.7,14.8,19.5,0.0,5.0,55,Open-Meteo Historical API,6,3929.0,-307.0,3622,19.5,Canal St & Adams St,Summer
15,2024-01-16,634,-0.1,-5.5,-2.4,9.9,6.9,82,Open-Meteo Historical API,1,1253.142857142857,-619.1428571428571,634,-2.4,Columbus Dr & Randolph St,Winter
116,2024-04-26,3317,14.5,1.1,8.2,0.0,5.5,68,Open-Meteo Historical API,4,3034.285714285714,282.7142857142858,3317,8.2,Clinton St & Madison St,Spring
344,2024-12-10,2377,10.9,6.6,8.4,1.3,4.0,95,Open-Meteo Historical API,12,2131.285714285714,245.71428571428575,2377,8.4,Canal St & Adams St,Winter
343,2024-12-09,2055,10.6,2.0,6.2,7.7,3.4,81,Open-Meteo Historical API,12,2126.5714285714284,-71.57142857142844,2055,6.2,Theater on the Lake,Winter
179,2024-06-28,4116,25.5,15.1,20.0,0.0,5.9,50,Open-Meteo Historical API,6,3602.8571428571427,513.1428571428573,4116,20.0,Buckingham Fountain,Summer
197,2024-07-16,3742,34.4,22.7,28.8,3.1,7.5,65,Open-Meteo Historical API,7,3630.142857142858,111.85714285714266,3742,28.8,Columbus Dr & Randolph St,Summer
135,2024-05-15,2008,18.9,13.7,15.5,7.4,7.1,89,Open-Meteo Historical API,5,2739.5714285714284,-731.5714285714284,2008,15.5,Millennium Park,Spring
302,2024-10-29,3704,17.4,6.1,12.9,0.7,6.5,79,Open-Meteo Historical API,10,3806.857142857142,-102.85714285714266,3704,12.9,Shedd Aquarium,Fall
87,2024-03-28,1451,10.1,6.5,8.2,25.8,5.2,93,Open-Meteo Historical API,3,2094.0,-643.0,1451,8.2,Michigan Ave & Oak St,Spring
318,2024-11-14,3022,8.1,1.8,5.2,0.0,2.9,48,Open-Meteo Historical API,11,3130.5714285714284,-108.57142857142844,3022,5.2,Columbus Dr & Randolph St,Fall
293,2024-10-20,3269,24.3,6.2,14.0,0.0,3.2,61,Open-Meteo Historical API,10,3778.285714285714,-509.2857142857142,3269,14.0,Buckingham Fountain,Fall
154,2024-06-03,3428,29.7,17.8,23.4,0.0,4.2,65,Open-Meteo Historical API,6,3841.857142857142,-413.85714285714266,3428,23.4,Clinton St & Madison St,Summer
192,2024-07-11,3754,33.1,24.3,27.4,3.0,8.3,68,Open-Meteo Historical API,7,3536.4285714285716,217.57142857142844,3754,27.4,Shedd Aquarium,Summer
131,2024-05-11,3479,16.8,7.0,11.3,0.0,6.0,72,Open-Meteo Historical API,5,2837.8571428571427,641.1428571428573,3479,11.3,Shedd Aquarium,Spring
